doc_id,sentence_id,token,ner_label
0,0,Our,O
0,0,forefathers,O
0,0,have,O
0,0,told,O
0,0,us,O
0,0,much,O
0,0,of,O
0,0,the,O
0,0,coming,O
0,0,of,O
0,0,earth,O
0,0,",",O
0,0,and,O
0,0,of,O
0,0,men,O
0,0,",",O
0,0,and,O
0,0,it,O
0,0,was,O
0,0,a,O
0,0,long,O
0,0,",",O
0,0,long,O
0,0,while,O
0,0,ago,O
0,0,.,O
0,1,Those,O
0,1,who,O
0,1,lived,O
0,1,long,O
0,1,before,O
0,1,our,O
0,1,day,O
0,1,",",O
0,1,they,O
0,1,did,O
0,1,not,O
0,1,know,O
0,1,how,O
0,1,to,O
0,1,store,O
0,1,their,O
0,1,words,O
0,1,in,O
0,1,little,O
0,1,black,O
0,1,marks,O
0,1,",",O
0,1,as,O
0,1,you,O
0,1,do,O
0,1,;,O
0,1,they,O
0,1,could,O
0,1,only,O
0,1,tell,O
0,1,stories,O
0,1,.,O
0,2,And,O
0,2,they,O
0,2,told,O
0,2,of,O
0,2,many,O
0,2,things,O
0,2,",",O
0,2,and,O
0,2,therefore,O
0,2,we,O
0,2,are,O
0,2,not,O
0,2,without,O
0,2,knowledge,O
0,2,of,O
0,2,these,O
0,2,things,O
0,2,",",O
0,2,which,O
0,2,we,O
0,2,have,O
0,2,heard,O
0,2,told,O
0,2,many,O
0,2,and,O
0,2,many,O
0,2,a,O
0,2,time,O
0,2,",",O
0,2,since,O
0,2,we,O
0,2,were,O
0,2,little,O
0,2,children,O
0,2,.,O
0,3,Old,O
0,3,women,O
0,3,do,O
0,3,not,O
0,3,waste,O
0,3,their,O
0,3,words,O
0,3,idly,O
0,3,",",O
0,3,and,O
0,3,we,O
0,3,believe,O
0,3,what,O
0,3,they,O
0,3,say,O
0,3,.,O
0,4,Old,O
0,4,age,O
0,4,does,O
0,4,not,O
0,4,lie,O
0,4,.,O
0,5,A,O
0,5,long,O
0,5,",",O
0,5,long,O
0,5,time,O
0,5,ago,O
0,5,",",O
0,5,when,O
0,5,the,O
0,5,earth,O
0,5,was,O
0,5,to,O
0,5,be,O
0,5,made,O
0,5,",",O
0,5,it,O
0,5,fell,O
0,5,down,O
0,5,from,O
0,5,the,O
0,5,sky,O
0,5,.,O
0,6,Earth,O
0,6,",",O
0,6,hills,O
0,6,and,O
0,6,stones,O
0,6,",",O
0,6,all,O
0,6,fell,O
0,6,down,O
